salary,company,job
20001-30000,北京慧辰资道资讯股份有限公司,高级研发经理
10001-15000,北京科锐国际人力资源股份有限公司,知名集团公司招聘java
8000-15000,北京智慧星光信息技术有限公司,python
面议,阿里巴巴集团,阿里健康-算法工程师
6001-8000,中科宇图科技股份有限公司,数据采集实习生
15001-20000,北京新鸿儒世纪网络技术有限公司,python开发
20001-30000,达疆网络科技(上海)有限公司,算法工程师
20000-35000,达疆网络科技(上海)有限公司,算法工程师
15001-20000,律城信核(北京)信用管理有限公司,数据抓取工程师
10001-15000,北京互联直通网络科技有限公司,Python开发工程师
30001-50000,北京索维智能科技有限公司,Python学科合伙人
20000-40000,北京千锋互联科技有限公司,Python讲师
13000-15000,北京深思数盾科技股份有限公司,数据抓取工程师
20001-30000,上海仁教信息技术有限公司,python
8001-10000,神州数码通用软件(上海)有限公司,工程师
20000-25000,北京博晓通科技有限公司,工程师
10001-15000,北京昆仑亿发科技股份有限公司,数据库工程师
8000-15000,泰康在线财产保险股份有限公司,数据对接开发人员
面议,北京奇虎科技有限公司,信息安全工程师（安全自动化）
15000-25000,光环国际管理咨询集团,Python讲师
8000-12000,海外网传媒有限公司,大数据开发工程师
10001-15000,北京小牛飞腾科技有限公司,JAVA工程师（中级）
10001-15000,海数盈智教育科技(北京)有限公司,python开发
4001-6000,北京数智源科技股份有限公司,产品／测试／Python／C#实习岗位
15000-28000,北京芸投数据技术有限公司,文本挖掘
15000-25000,狮桥融资租赁(中国)有限公司北京分公司,数据
20001-30000,上海仁教信息技术有限公司,Python工程师/Python
2001-4000,中物协（北京）物流工程设计院,网络
8000-15000,无讼网络科技(北京)有限公司,java
20001-30000,北京国信创新科技股份有限公司,数据挖掘工程师
10001-15000,博彦科技股份有限公司,Python开发工程师-北京-02618
20001-30000,中企动力科技股份有限公司,大数据算法工程师
10001-15000,北京阿博泰克北大青鸟信息技术有限公司,Python数据分析产品设计师
20001-30000,北京深知无限人工智能研究院有限责任公司,高级算法工程师
8000-12000,乘方大数据技术(北京)有限责任公司,智能语义研发工程师
20000-40000,北京深知无限人工智能研究院有限责任公司,大数据工程师
1000元以下,上海仁教信息技术有限公司,Python开发工程师/
10000-20000,北京一路无忧国际商务有限公司,工程师
20000-40000,北京一览科技有限公司,高级网络
10001-15000,河南奇酷信息技术有限公司,python工程师【坐标郑州】
面议,阿里巴巴集团,阿里健康-大数据工程师
面议,阿里巴巴集团,高德-离线架构资深研发工程师
15001-20000,博彦科技股份有限公司,大数据项目经理-北京-02715
面议,中软国际科技服务有限公司深圳分公司,Python开发（云语音项目）
20000-40000,北京千锋互联科技有限公司,Python讲师
30000-60000,北京捷通华声科技股份有限公司,机器翻译算法工程师（MT）
10001-15000,中航航空电子系统股份有限公司北京技术研发中心,SEO/SEM
20000-40000,众德迪克科技(北京)有限公司,语言算法工程师
12000-24000,北京至上泽思信息技术有限公司,架构师
10000-20000,天津紫龙奇点互动娱乐有限公司北京办事处,python数据开发工程师
15000-30000,九次方大数据信息集团有限公司,工程师
20000-40000,北京爱乐宝机器人科技有限公司,工程师
18000-35000,北京八维研修学院,Hadoop高级讲师
10001-15000,中科宇图科技股份有限公司,数据采集工程师
15001-20000,北京华信智原教育技术有限公司,Python老师
15000-25000,厦门美图网科技有限公司,数据标注工程师---视觉团队（美图云）
6001-8000,巴士互娱(北京)科技有限公司,数据挖掘工程师
15001-20000,秦皇岛娜时源商贸有限公司,seo工程师
3000-6000,北京人人金服投资管理有限公司,算法实习生
10001-15000,北京炫世纪文化发展有限公司,Java软件工程师
15001-20000,北京鼎力创世科技有限公司,PHP开发-北京-00235
15000-25000,北京杰迈科技股份有限公司,JAVA高级软件工程师/JAVA开发工程师
10001-15000,普天信息技术有限公司,web
25000-35000,携程计算机技术(上海)有限公司,高级
10000-16000,天江智媒科技(北京)有限公司,工程师
10001-15000,北京诚益通控制工程科技股份有限公司,软件开发工程师 c#方向
10000-20000,北京天广汇通科技有限公司,C++软件工程师
10000-20000,北京天广汇通科技有限公司,Python高级开发工程师
30001-50000,北京全融信息服务有限公司,技术总监
20001-30000,上海基分文化传播有限公司,PHP开发工程师
15001-20000,北京圣达康网络科技有限公司,高级前端工程师
8000-12000,北京库克优选信息技术有限公司,Python程序员
12000-20000,海数盈智教育科技(北京)有限公司,Python资深工程师
10001-15000,北京昆仑亿发科技股份有限公司,数据
20001-30000,旷视科技face++,高级
15000-25000,北京值得买科技股份有限公司,工程师
10001-15000,北京知因智慧数据科技有限公司,工程师
10000-20000,北京大然航空服务有限公司,工程师
15001-20000,北京风行在线技术有限公司,Python高级研发工程师
20000-30000,北京友缘在线网络科技股份有限公司,Python高级
10001-15000,乐飞天下信息技术(北京)有限公司,python开发工程师
15001-20000,北京伯乐互联科技发展有限公司,PHP全栈工程师岗位
16000-25000,北京时代优讯广告有限公司,高级PHP开发工程师
15000-25000,中公教育,Java开发讲师
20001-30000,北京商高科技有限公司,python开发工程师
18000-25000,无讼网络科技(北京)有限公司,高级数据抓取工程师
10001-15000,北京力迈教育科技有限公司,seo网络优化专员
15000-30000,北京热云科技有限公司,大数据开发工程师
20001-30000,北京艾信运通技术有限公司,JAVA高级工程师
15001-20000,途家网网络技术(北京)有限公司,/反爬工程师J10059
15001-20000,途家网网络技术(北京)有限公司,/反爬工程师J10059
20001-30000,启迪汇智(北京)投资管理有限公司,工程师
15000-25000,北京九十文化传播有限公司,工程师
20001-30000,极客学院,Python讲师
10000-20000,北京瑞智华胜科技有限公司,Python研发工程师
12000-18000,北京科锐国际人力资源股份有限公司,知名金融证券公司招数据工程师
20000-40000,北京优加利信息科技有限公司,JAVA高级开发工程师
15001-20000,北京氢元数据信息技术有限公司,高级PHP程序员
5000-8000,北京睿信致成管理顾问有限公司,SEO主管
20001-30000,人民澳客传媒科技有限公司,数据工程师
10000-17000,北京易天正诚信息技术有限公司,.NET网络
10001-15000,北京千里马网信科技有限公司,开发工程师
15000-25000,北京博明信德科技有限公司,高级
20001-30000,中国搜索信息科技股份有限公司,搜索研发工程师
15001-20000,同方鼎欣科技股份有限公司,大数据研发
10000-20000,医源国际医院管理有限公司,智慧医疗事业部-人工智能Python工程师
30001-50000,伯乐易才(北京)管理咨询有限公司,数据挖掘工程师
10000-18000,北京海尔云厨科技有限公司,内容运营经理
6000-9000,中国科学院信息工程研究所,JAVA开发工程师
8000-15000,北京翡翠教育科技有限公司昌平分公司,Paython
20000-30000,北京华路时代信息技术有限公司,架构师
10000-20000,北京中科信利技术有限公司,工程师
15001-20000,律城信核(北京)信用管理有限公司,工程师
20001-30000,北京智慧星光信息技术有限公司,解决方案高级售前顾问
10001-15000,数联道(北京)科技有限公司,高级数据采集工程师
20001-30000,去哪儿网旅游度假事业部,Python高级研发工程师-度假事业部(J11528)
1000元以下,亚信科技(中国)有限公司,PRD-BI-大数据开发工程师-北京-E(13320170500036)
15001-20000,北京伯乐互联科技发展有限公司,全栈工程师岗位
15000-25000,北京贷鱼科技有限公司,java开发工程师
面议,航天信息,网络搜索
面议,北京风行,后端开发工程师
15000-30000,北京奥德塔数据科技有限公司,Python开发技术总监
15001-20000,北京玩乐付科技有限公司,工程师
15000-25000,北京所问数据科技有限公司,工程师
20000-30000,北京热云科技有限公司,数据挖掘（
20001-30000,永新华韵文化发展有限公司,工程师
15000-25000,北京星河聘快线科技有限公司,Java中高级开发工程师
10001-15000,北京天石和合文化传播有限责任公司,数据集成工程师
面议,中公教育,JAVA讲师
面议,北京奇虎科技有限公司,儿童业务部--语音语料运营实习生
20001-30000,北京融世纪信息技术有限公司,高级java研发工程师(000335)
15000-30000,江苏徐工信息技术股份有限公司南京分公司,大数据分析师
10001-15000,玫瑰视界(北京)网络科技有限公司,数据产品经理
10001-15000,北京数智源科技股份有限公司,Python开发工程师
15000-22000,北京华路时代信息技术有限公司,开发工程师
13000-15000,北京深思数盾科技股份有限公司,python/
面议,联想集团有限公司,智能推荐(垂直搜索)系统架构师
25000-30000,欢聚时代（多玩YY）,后台研发工程师-内容管理
15001-20000,乐飞天下信息技术(北京)有限公司,Python开发工程师
20001-30000,北京奇点机智科技有限公司,后端开发工程师
20000-40000,北京智分科技有限公司,机器学习工程师
15001-20000,博彦科技股份有限公司,自然语言高级工程师-北京-02093
15000-30000,达内时代科技集团有限公司,Python讲师
4001-6000,北京数智源科技股份有限公司,实习岗位
10001-15000,网娱互动科技(北京)股份有限公司,中级Java开发工程师
6001-8000,北京奥德塔数据科技有限公司,数据采集工程师
20001-30000,中国搜索信息科技股份有限公司,搜索
8001-10000,北京绿维文旅控股集团有限公司,信息系统数据工程师
13000-25000,北京星河聘快线科技有限公司,工程师
20001-30000,北京索维智能科技有限公司,python
8000-15000,六维联合信息科技(北京)有限公司,网站数据采集工程师
15000-30000,北京融世纪信息技术有限公司,php研发工程师
11000-20000,北京图森未来科技有限公司,Python后端工程师
10000-20000,大公国际信用评级集团有限公司,数据库开发工程师
面议,北京三快在线科技有限公司,数据抓取工程师
25000-50000,云天弈(北京)信息技术有限公司,人工智能 自然语言处理算法工程师
面议,阿里巴巴集团,阿里云-安全研发专家-应用层安全C/C++ or Java
面议,北京奇虎科技有限公司,工程师
15001-20000,杭州凡闻科技有限公司,Python
25000-40000,北京优叁企业管理顾问有限公司,高级JAVA（
7000-11000,国诚信征信有限公司,工程师
20001-30000,易第优（北京）教育咨询股份有限公司,Python讲师/高级讲师
15001-20000,北京银孚科创文化传播有限公司,Python课程讲课老师
10000-20000,博彦科技股份有限公司,JAVA开发工程师-北京-03236
15000-30000,达内时代科技集团有限公司,python讲师(000554)
8000-10000,中国大百科全书出版社有限公司,数据分析工程师
8001-10000,引力传媒股份有限公司,java工程师
20000-40000,滴滴出行,数据抓取
8000-15000,北京软安科技有限公司,工程师
10001-15000,济南明和中业信息技术有限公司,工程师
15000-30000,人人贷商务顾问(北京)有限公司,工程师
15001-20000,武汉绿色网络信息服务有限责任公司北京分公司,高级测试工程师
10001-15000,华信永益(北京)信息技术有限公司,Java软件工程师
2001-4000,北京梆梆安全科技有限公司,助理软件工程师
12000-20000,北京十月逸栈科技有限公司,数据挖掘工程师
15001-20000,北京新模式科技有限公司,java工程师
12000-17000,中公教育,JAVA讲师
面议,北京恒昌惠诚信息咨询有限公司,风控建模师
20000-40000,北京科锐国际人力资源股份有限公司,JAVA开发工程师
15001-20000,北京图为先科技有限公司,大数据分析工程师 （NTD-SmarT）
15001-20000,鼎复数据科技(北京)有限公司,大数据开发工程师
10000-20000,北京荣之联科技股份有限公司,工程师
10000-15000,龙信数据(北京)有限公司,高级
8001-10000,北京唯氧绿色科技有限公司,诚聘
10000-20000,北京弘道智慧中医技术有限公司,工程师
15000-25000,乐影网,开发工程师
15001-20000,搜狗公司,网页搜索-数据挖掘研究员-北京-00033
10001-15000,北京梆梆安全科技有限公司,java高级软件工程师
17000-28000,北京新模式科技有限公司,高级JAVA工程师
15000-25000,尚德机构,高级Java开发
面议,北京恒昌利通投资管理有限公司,风控建模师
20000-40000,今日头条,数据抓取及处理（高级）工程师
10001-15000,引力传媒股份有限公司,技术总监
10001-15000,天津火星文化有限公司北京分公司,Python
15000-30000,况客科技(北京)有限公司,工程师
15000-30000,北京造数科技有限公司,Python
10001-15000,北京东方网信科技股份有限公司,产品经理
20001-30000,北京慧辰资道资讯股份有限公司,大数据技术研发经理
20001-30000,易第优（北京）教育咨询股份有限公司,Python高级讲师
4001-6000,北京鱼游四海科技有限公司,数据开发实习生+食宿+双休
10001-15000,同源数智(北京)科技有限公司,Python开发工程师
15001-20000,北京创客在线教育科技有限公司,python教研工程师/python高级讲师
20000-40000,欢聚时代（多玩YY）,后台研发工程师-内容管理组
20001-30000,今日头条,数据抓取高级工程师
20000-30000,北京众荟信息技术股份有限公司,高级python开发工程师
15001-20000,北京集思互联教育科技有限公司,后端工程师
8000-15000,北京多牛互动传媒股份有限公司,ASO优化师-DNYY0003
18000-28000,凡普金科企业发展(上海)有限公司,数据
2000-3000,北京精真估信息技术有限公司,数据抓取/
10000-20000,国龙投资(北京)有限公司,/数据抓取工程师
10000-15000,深圳市芒柠科技有限公司,工程师（北京）
4001-6000,玫瑰视界(北京)网络科技有限公司,python
15001-20000,太极计算机股份有限公司,大数据采集工程师
10001-15000,北京梆梆安全科技有限公司,java高级软件工程师
20000-25000,北京智慧星光信息技术有限公司,Python工程师
20001-30000,北京氢元数据信息技术有限公司,技术总监
20001-30000,北京多特蒙咨询服务有限公司,Java高级工程师架构师
10000-20000,象辑知源(武汉)科技有限公司,Java工程师
10000-20000,中青健康产业发展有限公司,Python 工程师
20000-35000,狐狸金服（北京）信息科技有限公司,系统开发
10001-15000,极课大数据,java
10001-15000,北京慧闻科技发展有限公司,工程师
20001-30000,北京财经专修学院,大数据系统架构师
15001-20000,中国信息通信研究院,高级java开发工程师
8001-10000,北京汇才同飞软件技术研究院,招聘python 培训老师
6001-8000,北京万方软件股份有限公司,数据工程师
10001-15000,北京布卡互动科技有限公司,go语言开发工程师
15001-20000,中网数据(北京)股份有限公司,工程师
8001-10000,玫瑰视界(北京)网络科技有限公司,测试工程师
6001-8000,北京炫世纪文化发展有限公司,工程师
15000-25000,凡普金科企业发展(上海)有限公司,前端开发工程师-信息技术中心-凡搜平台
2500-3500,北京博晓通科技有限公司,nlp语料标注实习生
20001-30000,任子行网络技术股份有限公司北京分公司,Java开发主管（互金方向）-00518
2001-4000,北京荣之联科技股份有限公司,python
10001-15000,优讯时代(北京)网络技术有限公司,Java抓取开发工程师/
10001-15000,北京一起嗨网络科技有限公司,Java
10000-18000,北京启明星辰信息安全技术有限公司,安全研究工程师
15001-20000,北京启明星辰信息安全技术有限公司,网络安全研究工程师
10001-15000,任子行网络技术股份有限公司北京分公司,java开发（网络采集）-00565
12000-18000,华宇金信(北京)软件有限公司,数据挖掘经理（
20001-30000,玖富金科控股集团有限责任公司,高级产品经理（
10000-20000,北京神州云合数据科技发展有限公司,python
15000-30000,浙江同牛网络科技有限公司,高级
8000-12000,北京开卷信息技术有限公司,.NET中级软件工程师
15000-30000,北京看了吗视频信息技术有限公司,视频抓取工程师
10001-15000,《融资中国》,数据挖掘经理——大数据方向
10001-15000,北京创客在线教育科技有限公司,python教学经理
15000-30000,北京斗米优聘科技发展有限公司,工程师
15000-25000,北京羽扇智信息科技有限公司,工程师-北京-00473
10000-20000,北京航天金税技术有限公司,java高级开发工程师
18000-35000,北京八维研修学院,Python项目经理
8000-15000,北京一路无忧国际商务有限公司,Python工程师
10001-15000,极课大数据,python
18000-25000,北京邦利德网络科技有限公司,高级
10001-15000,北京锐驰信安技术有限公司,Python软件工程师
18000-30000,北京邦利德网络科技有限公司,组组长
10001-15000,北京开卷信息技术有限公司,工程师
6001-8000,品尚电子商务有限公司,工程师
